,name,username,license,tags,freesound_id,path
34,Impact sfx 004.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510074,files/bass_sounds/510074_8698658-hq.ogg
35,Impact sfx 003.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510075,files/bass_sounds/510075_8698658-hq.ogg
36,Impact sfx 002.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510076,files/bass_sounds/510076_8698658-hq.ogg
37,Impact sfx 008.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510078,files/bass_sounds/510078_8698658-hq.ogg
38,Grinding.mp3,FartMuffin,http://creativecommons.org/publicdomain/zero/1.0/,"['shopping-cart', 'gears', 'grinding', 'grinding-gear']",506286,files/bass_sounds/506286_10643288-hq.ogg
39,Impact sfx 009.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510083,files/bass_sounds/510083_8698658-hq.ogg
40,Impact sfx 016.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",511884,files/bass_sounds/511884_8698658-hq.ogg
41,Impact sfx 012.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",511880,files/bass_sounds/511880_8698658-hq.ogg
42,Impact sfx 018.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",511882,files/bass_sounds/511882_8698658-hq.ogg
43,hydraulic shears breaks concrete 001.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,"['heavy', 'industrial', 'constructing', 'shovel', 'tools', 'excavator', 'demolition', 'hydraulic', 'trencher', 'machine', 'industrial-noise', 'noise', 'tear-down', 'field-recording', 'power', 'construction', 'building', 'demolish', 'stone', 'demolishing', 'construction-site', 'builder', 'destruct', 'concrete', 'machinery', 'rock', 'dragline', 'breaker']",541015,files/bass_sounds/541015_1648170-hq.ogg
44,Impact sfx 001.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510077,files/bass_sounds/510077_8698658-hq.ogg
45,Impact sfx 020.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",511885,files/bass_sounds/511885_8698658-hq.ogg
46,Extending a boom pole. OWI.wav,the_Carlos,https://creativecommons.org/licenses/by/4.0/,"['pole', 'sounds', 'equipment', 'boom', 'recording']",706970,files/bass_sounds/706970_14730610-hq.ogg
47,Firework boom with crackle 11,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722290,files/bass_sounds/722290_15555277-hq.ogg
48,Firework boom 10,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722291,files/bass_sounds/722291_15555277-hq.ogg
49,Firework boom with crackle 12,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722292,files/bass_sounds/722292_15555277-hq.ogg
