,freesound_id,id,path,start_sample,end_sample,loudness,centroid,attack_time
22,511882,511882_f1,files/bass_sounds/511882_8698658-hq.ogg,56320,112640,0.0001230712980031967,389.8580322265625,-1.6010762453079224
23,510077,510077_f0,files/bass_sounds/510077_8698658-hq.ogg,0,56320,0.004951757192611694,807.773681640625,-0.6893765330314636
24,511885,511885_f0,files/bass_sounds/511885_8698658-hq.ogg,0,56320,0.004049127752130682,197.3494873046875,-1.4857745170593262
25,511885,511885_f1,files/bass_sounds/511885_8698658-hq.ogg,56320,112640,0.0002758363431150263,186.96533203125,-1.1541991233825684
26,506302,506302_f0,files/bass_sounds/506302_1847035-hq.ogg,0,56320,0.005985843593424017,1270.3330078125,-0.4206312596797943
27,433663,433663_f0,files/bass_sounds/433663_2943824-hq.ogg,0,56320,0.0005655764856121757,2856.607177734375,-0.01484553050249815
28,433663,433663_f1,files/bass_sounds/433663_2943824-hq.ogg,56320,112640,0.0008313861760226163,738.482177734375,-0.18590646982192993
29,546528,546528_f0,files/bass_sounds/546528_5637404-hq.ogg,0,56320,0.0016734815456650473,907.238525390625,-0.9388314485549927
30,437687,437687_f0,files/bass_sounds/437687_5487341-hq.ogg,0,56320,0.019445180892944336,631.0462036132812,-1.3584314584732056
31,437687,437687_f1,files/bass_sounds/437687_5487341-hq.ogg,56320,112640,0.002709268168969588,979.482177734375,-1.6470521688461304
32,72894,72894_f0,files/bass_sounds/72894_704648-hq.ogg,0,56320,0.001605881615118547,1114.476806640625,0.06755412369966507
33,72894,72894_f1,files/bass_sounds/72894_704648-hq.ogg,56320,112640,0.0019266937266696584,912.350830078125,-0.8245000243186951
34,72894,72894_f2,files/bass_sounds/72894_704648-hq.ogg,112640,168960,0.0015838568860834295,929.7683715820312,-0.24542288482189178
35,148957,148957_f0,files/bass_sounds/148957_2104797-hq.ogg,0,56320,0.00047226416116411034,3811.18115234375,-0.5127237439155579
36,120484,120484_f0,files/bass_sounds/120484_2175520-hq.ogg,0,56320,0.0004179972477934577,2764.00390625,-0.027050301432609558
37,418488,418488_f0,files/bass_sounds/418488_8224400-hq.ogg,0,56320,0.0002574326809157025,6466.31884765625,-1.7206766605377197
38,345092,345092_f0,files/bass_sounds/345092_1256155-hq.ogg,0,56320,0.00011491926217621023,6025.3203125,-1.7624844312667847
39,345092,345092_f1,files/bass_sounds/345092_1256155-hq.ogg,56320,112640,8.808237246491693e-05,5826.72802734375,-1.7585123777389526
40,422113,422113_f0,files/bass_sounds/422113_8432823-hq.ogg,0,56320,0.00038038732653314415,4228.4111328125,-0.38608869910240173
41,337855,337855_f0,files/bass_sounds/337855_4067257-hq.ogg,0,56320,0.000857155363668095,1277.5743408203125,-0.35467132925987244
42,337855,337855_f1,files/bass_sounds/337855_4067257-hq.ogg,56320,112640,0.0002757951278578151,1317.0377197265625,-1.3093820810317993
43,543693,543693_f0,files/bass_sounds/543693_11635935-hq.ogg,0,56320,0.00025775632397695024,5704.16455078125,-0.01952766254544258
44,477624,477624_f0,files/bass_sounds/477624_9961300-hq.ogg,0,56320,0.00022253722629763864,1074.337646484375,-0.2650967836380005
45,136767,136767_f0,files/bass_sounds/136767_2482480-hq.ogg,0,56320,0.002043295313011516,5330.9580078125,-0.8683915138244629
46,320449,320449_f0,files/bass_sounds/320449_230160-hq.ogg,0,56320,0.0009054568003524433,5178.08056640625,-0.07976069301366806
47,510074,510074_f0,files/bass_sounds/510074_8698658-hq.ogg,0,56320,0.003132555972446095,1735.1239013671875,-0.823449432849884
48,510075,510075_f0,files/bass_sounds/510075_8698658-hq.ogg,0,56320,0.0029070480303330856,2738.999755859375,-0.6242016553878784
